blue_wins,first_blood,dragons,heralds,towers_destroyed,wards_placed,wards_destroyed,experience,kills,assists,gold,minions,avg_level,elite_monsters,total_jungle_minions_killed
1,1,0,0,0,2,-2,-1412,-3,-4,-1820,-4,-0.40000000000000036,0,-1
1,1,1,0,0,-88,0,-534,2,8,625,7,-0.20000000000000018,1,-9
0,0,-1,0,0,-2,0,-2009,-4,-3,-3628,-70,-0.20000000000000018,-1,0
0,1,-1,1,0,14,2,480,0,1,769,-16,0.39999999999999947,0,13
0,0,1,-1,0,0,2,-682,0,2,-576,31,0,0,-23
0,0,-1,0,0,-28,14,-3550,-6,-6,-3900,-42,-1.1999999999999993,-1,-11
1,0,1,-1,0,-5,0,-231,1,2,-7,-17,-0.20000000000000018,0,-17
1,1,-1,0,0,-1,3,1433,3,5,1683,-24,0.20000000000000018,-1,-12
0,0,-1,0,0,-1,-4,-3408,-7,-9,-4782,-52,-0.6000000000000005,-1,-11
1,1,1,0,0,24,2,-214,2,2,636,-10,0.20000000000000018,1,-8
1,0,1,0,0,27,-3,-2624,-7,-6,-3421,-36,-1,1,-12
1,0,1,0,0,-21,2,1599,2,1,976,10,0.40000000000000036,1,19
0,0,0,-1,0,23,-1,-1305,-1,-1,-211,1,-0.40000000000000036,-1,6
1,0,0,0,0,-17,2,462,2,1,1221,18,0,0,4
1,0,-1,0,0,-18,2,1291,6,8,2037,9,0.6000000000000005,-1,-44
1,1,1,0,0,-23,3,-94,3,8,817,12,0.20000000000000018,1,-22
1,1,-1,0,0,3,1,-351,0,3,-137,-12,0,-1,-24
1,1,1,0,0,20,-3,-1497,-3,-8,-1539,21,-0.7999999999999998,1,-19
0,0,-1,0,0,-49,2,-1286,-2,-6,-1707,-25,-0.5999999999999996,-1,-3
1,0,1,0,0,-4,0,-235,-3,-11,-556,85,0.20000000000000018,1,-5
1,1,1,-1,0,8,-2,-717,2,7,-146,-26,-0.20000000000000018,0,-7
1,1,-1,1,0,0,-1,2884,8,8,4083,36,0.6000000000000005,0,-15
1,0,-1,0,0,-21,-1,1418,0,-1,1389,-3,0.40000000000000036,-1,15
0,0,1,-1,0,12,2,-528,-1,-2,-890,3,0,0,11
0,1,0,0,0,-6,0,-1095,-5,-10,-2519,-2,0,0,-14
0,0,0,0,0,77,0,-4020,-11,-10,-4440,-18,-1.2000000000000002,0,-21
1,1,-1,-1,0,-2,2,705,1,3,1140,61,0,-2,8
0,1,0,0,0,2,-1,-1832,-2,-1,-1656,-47,-0.39999999999999947,0,-11
1,0,-1,-1,0,-14,1,-261,5,10,2171,-7,-0.1999999999999993,-2,0
1,1,0,0,0,4,-1,2484,8,12,3841,-10,0.40000000000000036,0,4
1,0,-1,1,1,-21,2,-2172,-7,-10,-885,16,-0.6000000000000005,0,4
0,0,1,1,0,-1,-2,-2286,-5,-5,-2752,-50,-0.6000000000000005,2,8
1,1,0,0,0,0,-1,466,4,11,2081,7,0,0,-13
0,1,0,0,0,-1,3,-19,1,1,453,23,-0.20000000000000018,0,2
0,1,1,-1,0,-25,-2,-1002,2,2,830,4,-0.20000000000000018,0,0
0,0,0,0,0,4,-2,-445,0,-3,94,35,-0.20000000000000018,0,0
0,0,1,1,0,57,1,891,2,6,-722,-54,0.40000000000000036,2,17
0,0,-1,1,0,-20,-4,-799,-1,-1,-1491,8,-0.20000000000000018,0,-6
0,0,-1,-1,0,-3,0,-1745,-8,-13,-3109,-3,-0.20000000000000018,-2,22
